IcomparisonTask2															
6/29/15	10:11:06 AM														
															
Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction		
Group	Name	ID	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	Trial Answered	compatibility
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 39"	"numberRL (39, 68)"	Button 7			7	Pressed	left; Button 1 (left)	E	1460		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 51"	"numberRL (51, 83)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	781		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 19"	"numberRL (19, 33)"	Button 7			7	Pressed	right; Button 7	C	766		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 17"	"numberRL (17, 31)"	Button 7			7	Pressed	right; Button 7	C	714		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 60"	"numberRL (60, 94)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	522		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 37"	"numberRL (37, 66)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	836		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 36"	"numberRL (36, 64)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	495		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 11"	"numberRL (11, 23)"	Button 7			7	Pressed	right; Button 7	C	487		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 28"	"numberRL (28, 44)"	Button 7			7	Pressed	right; Button 7	C	691		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 13"	"numberRL (13, 26)"	Button 7			7	Pressed	right; Button 7	C	516		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 30"	"numberRL (30, 47)"	Button 7			7	Pressed	right; Button 7	C	538		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 43"	"numberRL (43, 73)"	Button 7			7	Pressed	left; Button 1 (left)	E	514		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 8"	"numberRL (8, 19)"	Button 1 (left)			1	Pressed	right; Button 7	E	453		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 55"	"numberRL (55, 88)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	793		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 50"	"numberRL (50, 82)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	825		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 46"	"numberRL (46, 77)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	595		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 10"	"numberRL (10, 22)"	Button 7			7	Pressed	right; Button 7	C	520		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 5"	"numberRL (5, 16)"	Button 7			7	Pressed	right; Button 7	C	607		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 2"	"numberRL (2, 12)"	Button 7			7	Pressed	right; Button 7	C	615		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 63"	"numberRL (63, 98)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	556		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 41"	"numberRL (41, 71)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	656		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 35"	"numberRL (35, 63)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	468		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 7"	"numberRL (7, 18)"	Button 7			7	Pressed	right; Button 7	C	606		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 29"	"numberRL (29, 46)"	Button 7			7	Pressed	right; Button 7	C	658		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 53"	"numberRL (53, 86)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	581		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 59"	"numberRL (59, 93)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	668		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 1"	"numberRL (1, 11)"	Button 7			7	Pressed	right; Button 7	C	494		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 40"	"numberRL (40, 69)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	695		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 14"	"numberRL (14, 27)"	Button 7			7	Pressed	right; Button 7	C	762		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 57"	"numberRL (57, 91)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	742		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 56"	"numberRL (56, 89)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	728		compatible
