
comparisonTask2
07/22/2015	10:11:32 AM

Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	Trial Answered	compatibility
Main Group			comparisonTask-RL	comparisonTaskRL, 9	numberRL (9, 21)	Button 7			7	Pressed	right; Button 7	C	2446		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 30	numberRL (30, 47)	Button 7			7	Pressed	right; Button 7	C	1750		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 21	numberRL (21, 36)	Button 7			7	Pressed	right; Button 7	C	1725		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 60	numberRL (60, 94)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	2096		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 61	numberRL (61, 96)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	792		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 26	numberRL (26, 42)	Button 7			7	Pressed	right; Button 7	C	916		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 29	numberRL (29, 46)	Button 7			7	Pressed	right; Button 7	C	811		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 51	numberRL (51, 83)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	616		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 16	numberRL (16, 29)	Button 7			7	Pressed	right; Button 7	C	1516		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 6	numberRL (6, 17)	Button 7			7	Pressed	right; Button 7	C	826		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 1	numberRL (1, 11)	Button 7			7	Pressed	right; Button 7	C	1030		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 8	numberRL (8, 19)	Button 7			7	Pressed	right; Button 7	C	1720		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 62	numberRL (62, 97)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	799		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 52	numberRL (52, 84)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	827		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 42	numberRL (42, 72)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1350		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 58	numberRL (58, 92)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1084		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 12	numberRL (12, 24)	Button 7			7	Pressed	right; Button 7	C	862		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 27	numberRL (27, 43)	Button 7			7	Pressed	right; Button 7	C	774		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 5	numberRL (5, 16)	Button 7			7	Pressed	right; Button 7	C	1060		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 55	numberRL (55, 88)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	600		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 10	numberRL (10, 22)	Button 7			7	Pressed	right; Button 7	C	763		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 32	numberRL (32, 49)	Button 7			7	Pressed	right; Button 7	C	875		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 64	numberRL (64, 99)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1187		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 46	numberRL (46, 77)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1167		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 41	numberRL (41, 71)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	731		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 57	numberRL (57, 91)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1438		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 35	numberRL (35, 63)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	3374		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 28	numberRL (28, 44)	Button 7			7	Pressed	right; Button 7	C	718		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 56	numberRL (56, 89)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	912		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 24	numberRL (24, 39)	Button 7			7	Pressed	right; Button 7	C	646		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 50	numberRL (50, 82)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1240		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 37	numberRL (37, 66)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1267		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 38	numberRL (38, 67)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1214		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 44	numberRL (44, 74)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	713		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 4	numberRL (4, 14)	Button 7			7	Pressed	right; Button 7	C	663		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 39	numberRL (39, 68)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	652		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 18	numberRL (18, 32)	Button 7			7	Pressed	right; Button 7	C	895		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 43	numberRL (43, 73)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	757		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 63	numberRL (63, 98)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	708		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 3	numberRL (3, 13)	Button 7			7	Pressed	right; Button 7	C	629		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 13	numberRL (13, 26)	Button 7			7	Pressed	right; Button 7	C	2170		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 31	numberRL (31, 48)	Button 7			7	Pressed	right; Button 7	C	860		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 33	numberRL (33, 61)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1461		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 19	numberRL (19, 33)	Button 7			7	Pressed	right; Button 7	C	966		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 34	numberRL (34, 62)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	700		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 54	numberRL (54, 87)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	687		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 14	numberRL (14, 27)	Button 7			7	Pressed	right; Button 7	C	800		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 36	numberRL (36, 64)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1530		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 48	numberRL (48, 79)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	999		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 11	numberRL (11, 23)	Button 7			7	Pressed	right; Button 7	C	1228		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 40	numberRL (40, 69)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1127		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 49	numberRL (49, 81)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	982		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 17	numberRL (17, 31)	Button 7			7	Pressed	right; Button 7	C	635		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 45	numberRL (45, 76)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	912		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 25	numberRL (25, 41)	Button 7			7	Pressed	right; Button 7	C	726		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 47	numberRL (47, 78)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	2054		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 7	numberRL (7, 18)	Button 7			7	Pressed	right; Button 7	C	750		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 53	numberRL (53, 86)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	636		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 20	numberRL (20, 34)	Button 7			7	Pressed	right; Button 7	C	627		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 2	numberRL (2, 12)	Button 7			7	Pressed	right; Button 7	C	615		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 22	numberRL (22, 37)	Button 7			7	Pressed	right; Button 7	C	1688		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 59	numberRL (59, 93)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	848		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 23	numberRL (23, 38)	Button 7			7	Pressed	right; Button 7	C	954		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 15	numberRL (15, 28)	Button 7			7	Pressed	right; Button 7	C	657		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 31	numberRL (31, 48)	Button 7			7	Pressed	right; Button 7	C	818		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 12	numberRL (12, 24)	Button 7			7	Pressed	right; Button 7	C	526		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 52	numberRL (52, 84)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	457		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 3	numberRL (3, 13)	Button 7			7	Pressed	right; Button 7	C	546		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 30	numberRL (30, 47)	Button 7			7	Pressed	right; Button 7	C	1291		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 40	numberRL (40, 69)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1443		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 37	numberRL (37, 66)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1954		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 39	numberRL (39, 68)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	847		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 8	numberRL (8, 19)	Button 7			7	Pressed	right; Button 7	C	603		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 11	numberRL (11, 23)	Button 7			7	Pressed	right; Button 7	C	879		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 4	numberRL (4, 14)	Button 7			7	Pressed	right; Button 7	C	600		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 14	numberRL (14, 27)	Button 7			7	Pressed	right; Button 7	C	718		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 10	numberRL (10, 22)	Button 7			7	Pressed	right; Button 7	C	493		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 5	numberRL (5, 16)	Button 7			7	Pressed	right; Button 7	C	629		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 50	numberRL (50, 82)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	556		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 55	numberRL (55, 88)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	481		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 35	numberRL (35, 63)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	749		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 13	numberRL (13, 26)	Button 7			7	Pressed	right; Button 7	C	842		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 16	numberRL (16, 29)	Button 7			7	Pressed	right; Button 7	C	999		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 1	numberRL (1, 11)	Button 7			7	Pressed	right; Button 7	C	1065		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 28	numberRL (28, 44)	Button 7			7	Pressed	right; Button 7	C	618		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 57	numberRL (57, 91)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	576		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 63	numberRL (63, 98)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	501		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 48	numberRL (48, 79)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	2656		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 38	numberRL (38, 67)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1005		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 59	numberRL (59, 93)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	561		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 45	numberRL (45, 76)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	631		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 53	numberRL (53, 86)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	554		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 34	numberRL (34, 62)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	801		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 56	numberRL (56, 89)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	607		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 22	numberRL (22, 37)	Button 7			7	Pressed	right; Button 7	C	564		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 19	numberRL (19, 33)	Button 7			7	Pressed	right; Button 7	C	682		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 6	numberRL (6, 17)	Button 7			7	Pressed	right; Button 7	C	555		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 20	numberRL (20, 34)	Button 7			7	Pressed	right; Button 7	C	642		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 43	numberRL (43, 73)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	841		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 41	numberRL (41, 71)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	513		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 32	numberRL (32, 49)	Button 7			7	Pressed	right; Button 7	C	858		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 7	numberRL (7, 18)	Button 7			7	Pressed	right; Button 7	C	1252		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 18	numberRL (18, 32)	Button 7			7	Pressed	right; Button 7	C	813		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 49	numberRL (49, 81)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	665		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 17	numberRL (17, 31)	Button 7			7	Pressed	right; Button 7	C	604		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 25	numberRL (25, 41)	Button 7			7	Pressed	right; Button 7	C	1024		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 15	numberRL (15, 28)	Button 7			7	Pressed	right; Button 7	C	597		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 58	numberRL (58, 92)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	539		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 46	numberRL (46, 77)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1283		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 47	numberRL (47, 78)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	617		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 36	numberRL (36, 64)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	2703		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 61	numberRL (61, 96)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	618		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 44	numberRL (44, 74)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1213		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 23	numberRL (23, 38)	Button 7			7	Pressed	right; Button 7	C	584		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 2	numberRL (2, 12)	Button 7			7	Pressed	right; Button 7	C	1088		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 51	numberRL (51, 83)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	607		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 27	numberRL (27, 43)	Button 7			7	Pressed	right; Button 7	C	772		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 26	numberRL (26, 42)	Button 7			7	Pressed	right; Button 7	C	626		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 9	numberRL (9, 21)	Button 7			7	Pressed	right; Button 7	C	582		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 60	numberRL (60, 94)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	526		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 24	numberRL (24, 39)	Button 7			7	Pressed	right; Button 7	C	501		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 29	numberRL (29, 46)	Button 7			7	Pressed	right; Button 7	C	974		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 33	numberRL (33, 61)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	979		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 21	numberRL (21, 36)	Button 7			7	Pressed	right; Button 7	C	746		incompatible
Main Group			comparisonTask-RL	comparisonTaskRL, 54	numberRL (54, 87)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	550		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 64	numberRL (64, 99)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	606		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 62	numberRL (62, 97)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	659		compatible
Main Group			comparisonTask-RL	comparisonTaskRL, 42	numberRL (42, 72)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	582		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 33	numberLR (33, 61)	Button 7			7	Pressed	right; Button 7	C	1510		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 24	numberLR (24, 39)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	534		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 7	numberLR (7, 18)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	607		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 54	numberLR (54, 87)	Button 7			7	Pressed	right; Button 7	C	547		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 2	numberLR (2, 12)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1049		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 32	numberLR (32, 49)	Button 7			7	Pressed	left; Button 1 (left)	E	698		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 39	numberLR (39, 68)	Button 7			7	Pressed	right; Button 7	C	728		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 42	numberLR (42, 72)	Button 7			7	Pressed	right; Button 7	C	776		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 43	numberLR (43, 73)	Button 7			7	Pressed	right; Button 7	C	565		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 13	numberLR (13, 26)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	635		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 57	numberLR (57, 91)	Button 7			7	Pressed	right; Button 7	C	1632		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 19	numberLR (19, 33)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	730		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 23	numberLR (23, 38)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	550		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 60	numberLR (60, 94)	Button 7			7	Pressed	right; Button 7	C	398		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 26	numberLR (26, 42)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	428		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 4	numberLR (4, 14)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	519		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 58	numberLR (58, 92)	Button 7			7	Pressed	right; Button 7	C	496		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 51	numberLR (51, 83)	Button 7			7	Pressed	right; Button 7	C	507		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 3	numberLR (3, 13)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	498		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 11	numberLR (11, 23)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	558		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 37	numberLR (37, 66)	Button 7			7	Pressed	right; Button 7	C	514		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 16	numberLR (16, 29)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	475		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 18	numberLR (18, 32)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	422		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 64	numberLR (64, 99)	Button 7			7	Pressed	right; Button 7	C	515		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 40	numberLR (40, 69)	Button 1 (left)			1	Pressed	right; Button 7	E	650		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 20	numberLR (20, 34)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1352		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 62	numberLR (62, 97)	Button 7			7	Pressed	right; Button 7	C	624		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 27	numberLR (27, 43)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	738		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 38	numberLR (38, 67)	Button 7			7	Pressed	right; Button 7	C	609		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 56	numberLR (56, 89)	Button 7			7	Pressed	right; Button 7	C	1110		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 52	numberLR (52, 84)	Button 7			7	Pressed	right; Button 7	C	598		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 55	numberLR (55, 88)	Button 7			7	Pressed	right; Button 7	C	875		compatible
Main Group			comparisonTask-LR	comparisonTaskLR, 8	numberLR (8, 19)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	549		incompatible
Main Group			comparisonTask-LR	comparisonTaskLR, 28	numberLR (28, 44)	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	924		compatible
